处理步骤,处理规则,处理前记录数,处理后记录数,影响记录数
删除完全重复行,删除完全相同的记录,5630,5630,0
中位数填补 - Tenure,使用总体中位数 (9.00) 填补缺失值,5630,5630,264
中位数填补 - WarehouseToHome,使用总体中位数 (14.00) 填补缺失值,5630,5630,251
中位数填补 - HourSpendOnApp,使用总体中位数 (3.00) 填补缺失值,5630,5630,255
中位数填补 - OrderAmountHikeFromlastYear,使用总体中位数 (15.00) 填补缺失值,5630,5630,265
中位数填补 - CouponUsed,使用总体中位数 (1.00) 填补缺失值,5630,5630,256
中位数填补 - OrderCount,使用总体中位数 (2.00) 填补缺失值,5630,5630,258
中位数填补 - DaySinceLastOrder,使用总体中位数 (3.00) 填补缺失值,5630,5630,307
类别标准化 - PreferredLoginDevice,映射规则: {'Phone': 'Mobile Phone'},5630,5630,1231
类别标准化 - PreferredPaymentMode,"映射规则: {'COD': 'Cash on Delivery', 'CC': 'Credit Card'}",5630,5630,638
类别标准化 - PreferedOrderCat,映射规则: {'Mobile': 'Mobile Phone'},5630,5630,809
数据类型转换,Churn 和 Complain 转为整数类型,5630,5630,0
