feature,importance
num__Tenure,0.28870771061598194
num__Complain,0.08598129470899202
cat__TenureGroup_新用户,0.07868243653480557
num__CashbackAmount,0.06511071538180871
num__DaySinceLastOrder,0.052400622034925855
cat__PreferedOrderCat_Mobile Phone,0.04250114486926379
num__NumberOfAddress,0.03521959126806747
num__SatisfactionScore,0.030525726570553042
num__WarehouseToHome,0.02984382175074831
cat__TenureGroup_13-24个月,0.025218684922041504
num__CityTier,0.02509400114194054
cat__MaritalStatus_Single,0.021446749146577612
cat__TenureGroup_0-6个月,0.021408477407276253
num__OrderAmountHikeFromlastYear,0.019392954042386626
cat__TenureGroup_24个月以上,0.01933231578361109
cat__PreferedOrderCat_Laptop & Accessory,0.018967685648607173
num__NumberOfDeviceRegistered,0.017297321114640336
cat__TenureGroup_7-12个月,0.015507595716581378
num__OrderCount,0.015379749277037065
cat__MaritalStatus_Married,0.01429326738508058
num__CouponUsed,0.01260092686244468
cat__PreferredPaymentMode_Credit Card,0.008993813762244904
cat__PreferedOrderCat_Fashion,0.007184521906124596
cat__Gender_Female,0.00617991804176873
cat__Gender_Male,0.005948658389010399
num__HourSpendOnApp,0.0055629913094901685
cat__PreferredPaymentMode_Debit Card,0.0053120298693674056
num__IsMobileLogin,0.005251687054260145
cat__PreferredLoginDevice_Mobile Phone,0.00506879694369702
cat__PreferredPaymentMode_E wallet,0.004801430737143596
cat__PreferredLoginDevice_Computer,0.0033488689178095494
cat__PreferredPaymentMode_Cash on Delivery,0.0032496749128700245
cat__PreferedOrderCat_Grocery,0.0016609938953449476
cat__PreferedOrderCat_Others,0.0010983161385885367
cat__MaritalStatus_Divorced,0.001061469357142708
cat__PreferredPaymentMode_UPI,0.0003640365817659329
